,CFOP,NCM,cEAN,cEANTrib,cProd,indTot,qCom,qTrib,uCom,uTrib,vProd,vUnCom,vUnTrib,xProd,comb,CEST,nItemPed,indEscala,EXTIPI,xPed,vDesc,cBenef,nFCI,med,vOutro,vFrete,rastro
0,5102,64019200,0,0,1,1,2.0000,2.0000,UN,UN,107.00,53.5000,53.5000,PAR DE SAPATO DE SEGURANÃA MASCULINO NÂº 39,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5102,64019200,0,0,2,1,2.0000,2.0000,UN,UN,107.00,53.5000,53.5000,PAR DE SAPATO DE SEGURANÃA NÂº 40,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5102,64034000,0,0,3,1,2.0000,2.0000,UN,UN,240.00,120.0000,120.0000,PAR DE COTURNO DE CADARÃO NÂº 40,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5102,39233000,0,0,4,1,5.0000,5.0000,UN,UN,150.00,30.0000,30.0000,GARRAFA TÃRMICA 5 LT,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5102,20079990,0,0,1609,1,20.0000,20.0000,UN,UN,26.80,1.3400000000,1.3400000000,BANANA C/ D. LEITE,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5102,19052090,0,0,01.18.1809,1,15.0000,15.0000,UN,UN,18.90,1.2600000000,1.2600000000,BOLINHO DE AIPIM,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5102,19052090,0,0,303,1,15.0000,15.0000,UN,UN,17.85,1.1900000000,1.1900000000,CACHORRINHO FOLHADO,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5102,19052090,0,0,304,1,15.0000,15.0000,UN,UN,17.85,1.1900000000,1.1900000000,COXINHA,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5102,19052090,0,0,309,1,15.0000,15.0000,UN,UN,17.85,1.1900000000,1.1900000000,EMPADA FRANGO,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5102,19052090,0,0,316,1,15.0000,15.0000,UN,UN,17.85,1.1900000000,1.1900000000,PASTEL SUICO,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5102,19052090,0,0,1709,1,15.0000,15.0000,UN,UN,18.90,1.2600000000,1.2600000000,VOL-AU-VENT COM BERINJELA,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5405,87081000,0,0,5S45/  17B769/AA/YYB,1,1.0000,1.0000,PC,PC,485.60,485.60000,485.60000,DEFLETOR,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5405,40103900,0,0,5S45/   6C301/AA/,1,1.0000,1.0000,PC,PC,327.80,327.80000,327.80000,CORREIA MOTOR,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5405,38111900,0,0,LEUS4720,1,1.0000,1.0000,PC,PC,105.60,105.60000,105.60000,FUEL SYSTEM CLEANER,"OrderedDict([('cProdANP', '620505001'), ('UFCons', 'RS')])",0,0,0,0,0,0,0,0,0,0,0,0
14,5405,38249041,0,0,MB9A/38901392/AA/,1,1.0000,1.0000,PC,PC,63.80,63.80000,63.80000,FUEL INJECTI,"OrderedDict([('cProdANP', '620505001'), ('UFCons', 'RS')])",0,0,0,0,0,0,0,0,0,0,0,0
15,5405,48182000,SEM GTIN,SEM GTIN,00003520,1,7.0000,7.0000,FDO,FDO,104.30,14.9000000000,14.9000000000,TOALHAS DE PAPEL INTERF.BR.100%CEL.21X20 C/1000 (2 DOBR),0,2802401,0,0,0,0,0,0,0,0,0,0,0
16,5405,48181000,SEM GTIN,SEM GTIN,00011934,1,12.0000,12.0000,FD,FD,190.80,15.9000000000,15.9000000000,PAPEL HIGIENICO BR.NEUTRO FOFINHO ABSOLUTE C/12 F.DUPLA,0,2004300,0,0,0,0,0,0,0,0,0,0,0
17,6108,84733042,0,0,P00498,1,4.00,4.00,UN,UN,3788.94,947.2350,947.2350,HP 16GB 2Rx4 PC3L-12800R-11 Kit - 713985-B21,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6108,84733042,0,0,P01426,1,18.00,18.00,UN,UN,89211.06,4956.1700,4956.1700,HPE 32GB (1x32GB) Quad Rank x4 PC3-14900L  708643-B21,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5949,84439933,0,0,80C8XY01LOC,1,5.0000,5.0000,UND,UND,1459.90,291.9800000000,291.9800000000,CARTUCHO DE TONER PARA IMPRESSORA LEXMARK CX510/410 AMARELO/1LOC,0,2101800,0,0,0,0,0,0,0,0,0,0,0
20,5949,84439933,0,0,80C8XK01LOC,1,2.0000,2.0000,UND,UND,643.70,321.8500000000,321.8500000000,CARTUCHO DE TONER PARA IMPRESSORA LEXMARK CX510/410 PRETO/1LOC,0,2101800,0,0,0,0,0,0,0,0,0,0,0
21,5949,84439933,0,0,80C8XC01LOC,1,5.0000,5.0000,UND,UND,1424.45,284.8900000000,284.8900000000,CARTUCHO DE TONER PARA IMPRESSORA LEXMARK CX510/410 CIANO/1LOC,0,2101800,0,0,0,0,0,0,0,0,0,0,0
22,5949,84439939,0,0,C540X75G1LOC,1,4.0000,4.0000,UND,UND,114.88,28.7200000000,28.7200000000,RECIPIENTE PARA RESIDUOS DE TONER C54X/X54X LEXMARK,0,2101800,0,0,0,0,0,0,0,0,0,0,0
23,5949,84439933,0,0,80C8XM01LOC,1,5.0000,5.0000,UND,UND,1442.15,288.4300000000,288.4300000000,CARTUCHO DE TONER PARA IMPRESSORA LEXMARK CX510/410 MAGENTA/1LOC,0,2101800,0,0,0,0,0,0,0,0,0,0,0
24,5101,21011110,0,0,01,1,30.0000,30.0000,LT,LT,210.00,7.0000,7.0000,CAFE,0,0,0,0,0,0,0,0,0,0,0,0,0
25,5405,17019900,0,0,02,1,1.0000,1.0000,KG,KG,3.75,3.7500,3.7500,ACUCAR REFINADO,0,0,0,0,0,0,0,0,0,0,0,0,0
